SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4 College Ter,San Francisco,CA,94112,1595000,3,1.5,San Francisco,1700,1719,1915,6,938,,Active,,,http://www.redfin.com/CA/San-Francisco/4-College-Ter-94112/home/1504225,San Francisco MLS,421610575,N,Y,37.7345011,-122.4259653
MLS Listing,,Condo/Co-op,765 Market St Unit 30H,San Francisco,CA,94103,2495000,2,2.5,San Francisco,1402,60150,2001,6,1780,2579,Active,,,http://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-30H/home/1482242,San Francisco MLS,421606112,N,Y,37.786097,-122.4041629
MLS Listing,,Condo/Co-op,140 S Van Ness Ave #428,San Francisco,CA,94103,725000,1,1.0,San Francisco,795,43147,2002,7,912,540,Active,,,http://www.redfin.com/CA/San-Francisco/140-S-Van-Ness-Ave-94103/unit-428/home/878077,BAREIS,421610464,N,Y,37.7716424,-122.4187147
MLS Listing,,Condo/Co-op,50 Jerrold Ave #206,San Francisco,CA,94124,549000,1,1.0,San Francisco,611,,2016,7,899,470,Active,,,http://www.redfin.com/CA/San-Francisco/50-Jerrold-Ave-94124/unit-206/home/144063947,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973662,N,Y,37.7277731,-122.3695061
MLS Listing,,Multi-Family (2-4 Unit),934 Lake St,SAN FRANCISCO,CA,94118,3250000,5,3.5,SAN FRANCISCO,3216,2696,1907,7,1011,,Active,,,http://www.redfin.com/CA/San-Francisco/934-Lake-St-94118/home/606805,MLSListings,ML81869567,N,Y,37.7866607,-122.4696318
MLS Listing,,Condo/Co-op,1688 Pine St Unit E1211,San Francisco,CA,94109,1875000,2,2.0,San Francisco,1139,35482,2016,7,1646,869,Active,,,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-E1211/home/144063600,San Francisco MLS,421607661,N,Y,37.7895497,-122.4233697
MLS Listing,,Condo/Co-op,301 Main St Unit 18G,San Francisco,CA,94105,999000,1,1.0,San Francisco,806,76210,2008,7,1239,918,Active,,,http://www.redfin.com/CA/San-Francisco/301-Main-St-94105/unit-18G/home/21966841,San Francisco MLS,421610552,N,Y,37.7895974,-122.3911965
MLS Listing,,Condo/Co-op,85 Ora Way #207,San Francisco,CA,94131,430551,1,1.0,San Francisco,676,,1975,7,637,652,Active,,,http://www.redfin.com/CA/San-Francisco/85-Ora-Way-94131/unit-207/home/177146829,San Francisco MLS,421610498,N,Y,37.7406778,-122.4372133
MLS Listing,,Condo/Co-op,1902 Lyon St Unit C,San Francisco,CA,94115,1995000,2,2.5,San Francisco,1435,14529,1979,7,1390,699,Active,,,http://www.redfin.com/CA/San-Francisco/1902-Lyon-St-94115/unit-C/home/1332060,San Francisco MLS,421610308,N,Y,37.788694,-122.4455074
MLS Listing,,Condo/Co-op,2871 Clay St,San Francisco,CA,94115,2750000,3,2.0,San Francisco,1910,3188,1900,7,1440,,Active,,,http://www.redfin.com/CA/San-Francisco/2871-Clay-St-94115/home/22044990,San Francisco MLS,421604594,N,Y,37.7896744,-122.4402098
MLS Listing,,Condo/Co-op,875 California St Ph 2,San Francisco,CA,94108,6995000,3,2.5,San Francisco,1825,,2020,7,3833,2325,Active,,,http://www.redfin.com/CA/San-Francisco/875-California-St-94108/unit-2/home/177145451,San Francisco MLS,421610489,N,Y,37.7918051,-122.4087206
MLS Listing,,Single Family Residential,24 Costa St,SAN FRANCISCO,CA,94110,1398000,2,2.5,SAN FRANCISCO,1134,1955,1906,7,1233,,Active,,,http://www.redfin.com/CA/San-Francisco/24-Costa-St-94110/home/2037429,MLSListings,ML81869529,N,Y,37.744855,-122.4066247
MLS Listing,,Condo/Co-op,1440 Broadway St #302,San Francisco,CA,94109,895000,1,1.0,San Francisco,777,12448,1982,7,1152,704,Active,,,http://www.redfin.com/CA/San-Francisco/1440-Broadway-94109/unit-302/home/874239,BAREIS,421609760,N,Y,37.7962646,-122.4208442
MLS Listing,,Condo/Co-op,10 Innes Ct #201,San Francisco,CA,94124,598888,1,1.0,San Francisco,744,13880,2018,7,805,531,Active,,,http://www.redfin.com/CA/San-Francisco/10-Innes-Ct-94124/unit-201/home/169576559,San Francisco MLS,421610471,N,Y,37.7280682,-122.3679965
MLS Listing,,Multi-Family (5+ Unit),2501 Van Ness Ave,San Francisco,CA,94109,3950000,0,,San Francisco,9741,3693,1906,7,406,,Active,,,http://www.redfin.com/CA/San-Francisco/2501-Van-Ness-Ave-94109/home/174700380,San Francisco MLS,421610469,N,Y,37.7986633,-122.4242964
MLS Listing,,Condo/Co-op,1333 Jones St #1510,San Francisco,CA,94109,2698000,2,2.0,San Francisco,,,1961,7,,2315,Active,,,http://www.redfin.com/CA/San-Francisco/1333-Jones-St-94109/unit-1510/home/12399936,San Francisco MLS,421610447,N,Y,37.793648,-122.4149043
MLS Listing,,Condo/Co-op,388 Fulton #504,SAN FRANCISCO,CA,94102,599000,0,1.0,SAN FRANCISCO,375,,2015,7,1597,462,Active,,,http://www.redfin.com/CA/San-Francisco/388-Fulton-St-94102/unit-504/home/144063612,MLSListings,ML81869518,N,Y,37.7790326,-122.4231449
MLS Listing,,Condo/Co-op,1168 Fell St,San Francisco,CA,94117,1295000,3,2.5,San Francisco,,3438,2001,7,,,Active,,,http://www.redfin.com/CA/San-Francisco/1168-Fell-St-94117/home/177142397,San Francisco MLS,421609302,N,Y,37.774338,-122.4370976
MLS Listing,,Single Family Residential,665 Pacheco St,San Francisco,CA,94116,1595000,2,1.5,San Francisco,1321,3101,1954,8,1207,,Active,,,http://www.redfin.com/CA/San-Francisco/665-Pacheco-St-94116/home/1022876,San Francisco MLS,421610157,N,Y,37.7512628,-122.4673234
MLS Listing,,Single Family Residential,2855 Bryant St,San Francisco,CA,94110,1795000,3,2.5,San Francisco,1944,2495,1922,9,923,,Active,,,http://www.redfin.com/CA/San-Francisco/2855-Bryant-St-94110/home/1784229,San Francisco MLS,421609709,N,Y,37.7488713,-122.4085658
MLS Listing,,Condo/Co-op,338 Main St Unit 3G,San Francisco,CA,94105,2029000,2,2.0,San Francisco,1401,75406,2016,9,1448,1254,Active,,,http://www.redfin.com/CA/San-Francisco/338-Main-St-94105/unit-3G/home/109278645,San Francisco MLS,421609771,N,Y,37.7886733,-122.3914178
MLS Listing,,Condo/Co-op,2224 Castro St,San Francisco,CA,94131,1225000,3,2.0,San Francisco,1254,2000,2011,9,977,313,Active,,,http://www.redfin.com/CA/San-Francisco/2224-Castro-St-94131/home/109684944,San Francisco MLS,421608138,N,Y,37.7436266,-122.4336276
MLS Listing,,Condo/Co-op,554 Wisconsin St,San Francisco,CA,94107,1327000,2,2.0,San Francisco,1150,79531,1978,9,1154,950,Active,,,http://www.redfin.com/CA/San-Francisco/554-Wisconsin-St-94107/home/1896008,San Francisco MLS,421601586,N,Y,37.760495,-122.399607
MLS Listing,,Single Family Residential,5 Carpenter Ct,San Francisco,CA,94124,995000,3,2.5,San Francisco,2015,1675,1990,9,494,175,Active,,,http://www.redfin.com/CA/San-Francisco/5-Carpenter-Ct-94124/home/1911919,San Francisco MLS,421610280,N,Y,37.734667,-122.385357
MLS Listing,,Multi-Family (2-4 Unit),4320 - 4322 18th St,San Francisco,CA,94114,1598000,2,1.5,San Francisco,1970,1900,1897,9,811,,Active,,,http://www.redfin.com/CA/San-Francisco/4320-18th-St-94114/home/671989,San Francisco MLS,421609763,N,Y,37.7609213,-122.4376201
